N,R,G,B
0,0,0,0
1,7,7,7
2,14,14,14
3,21,21,22
4,28,28,29
5,35,35,36
6,42,42,43
7,49,49,51
8,56,56,58
9,63,63,65
10,70,70,72
11,77,77,79
12,84,84,87
13,91,91,94
14,98,98,101
15,105,105,108
16,112,112,116
17,119,119,123
18,126,126,130
19,133,133,137
20,140,141,145
21,147,148,152
22,154,155,159
23,161,162,166
24,168,169,173
25,175,176,181
26,182,183,188
27,189,190,195
28,196,197,202
29,203,204,210
30,210,211,217
31,217,218,224
32,224,225,231
33,231,232,238
34,238,239,246
35,245,246,253
36,252,253,260
37,259,260,267
38,266,267,275
39,273,274,282
40,280,281,289
41,288,289,297
42,295,297,305
43,304,305,313
44,311,313,322
45,320,321,330
46,328,329,339
47,337,337,347
48,345,345,355
49,353,353,363
50,360,361,371
51,368,369,379
52,376,376,387
53,384,384,395
54,392,392,404
55,399,400,411
56,408,408,420
57,416,416,428
58,424,424,436
59,432,432,444
60,440,439,452
61,447,447,460
62,454,454,467
63,462,462,475
64,470,469,483
65,478,477,492
66,486,485,500
67,494,493,508
68,501,501,515
69,510,509,524
70,517,516,531
71,524,523,538
72,531,530,545
73,538,537,553
74,546,545,561
75,554,553,569
76,563,561,578
77,569,568,585
78,578,576,594
79,586,584,602
80,593,592,609
81,601,600,617
82,609,607,625
83,616,614,632
84,622,621,639
85,630,629,647
86,637,636,655
87,645,643,663
88,653,651,671
89,660,659,678
90,669,667,687
91,677,675,695
92,685,682,703
93,692,690,711
94,699,697,719
95,707,705,727
96,715,713,735
97,722,721,742
98,731,729,751
99,739,737,759
100,746,744,766
101,754,752,774
102,761,759,782
103,769,767,790
104,777,775,798
105,785,783,806
106,793,791,814
107,801,799,822
108,808,806,830
109,817,814,839
110,824,822,848
111,832,830,856
112,840,838,863
113,848,846,870
114,856,854,878
115,864,862,886
116,871,869,894
117,878,877,902
118,887,885,912
119,894,893,920
120,902,901,928
121,911,909,936
122,919,917,945
123,927,925,953
124,934,933,960
125,944,942,969
126,952,950,977
127,960,958,985
128,968,966,993
129,975,974,1000
130,984,982,1009
131,991,990,1017
132,1000,998,1026
133,1007,1006,1034
134,1015,1014,1043
135,1023,1022,1051
136,1031,1030,1059
137,1040,1038,1067
138,1047,1046,1074
139,1056,1054,1083
140,1064,1062,1091
141,1072,1070,1099
142,1079,1078,1107
143,1087,1086,1115
144,1094,1094,1123
145,1102,1102,1131
146,1111,1110,1140
147,1119,1118,1148
148,1126,1126,1156
149,1135,1135,1165
150,1143,1143,1173
151,1151,1151,1181
152,1159,1159,1189
153,1168,1167,1197
154,1176,1175,1205
155,1183,1183,1213
156,1191,1191,1221
157,1200,1199,1230
158,1207,1207,1238
159,1215,1215,1246
160,1222,1223,1254
161,1231,1231,1263
162,1239,1239,1271
163,1247,1247,1279
164,1254,1255,1286
165,1264,1264,1295
166,1272,1272,1303
167,1279,1280,1311
168,1288,1288,1320
169,1295,1296,1328
170,1304,1304,1337
171,1312,1313,1346
172,1321,1321,1355
173,1329,1330,1364
174,1339,1339,1373
175,1347,1348,1381
176,1355,1357,1389
177,1364,1366,1397
178,1373,1374,1406
179,1381,1382,1415
180,1389,1390,1424
181,1396,1398,1432
182,1404,1406,1440
183,1414,1415,1449
184,1422,1424,1457
185,1431,1433,1466
186,1439,1441,1474
187,1447,1449,1483
188,1455,1457,1491
189,1462,1465,1499
190,1471,1473,1507
191,1479,1482,1516
192,1488,1491,1525
193,1497,1500,1534
194,1505,1508,1543
195,1514,1517,1553
196,1523,1526,1563
197,1532,1535,1572
198,1541,1544,1581
199,1550,1554,1591
200,1560,1563,1600
201,1569,1572,1609
202,1577,1581,1618
203,1587,1591,1628
204,1597,1600,1637
205,1605,1609,1646
206,1614,1619,1655
207,1624,1628,1664
208,1634,1637,1673
209,1641,1646,1681
210,1651,1655,1690
211,1661,1664,1700
212,1669,1673,1709
213,1677,1682,1718
214,1686,1691,1727
215,1695,1700,1736
216,1704,1709,1745
217,1715,1719,1755
218,1723,1728,1763
219,1733,1737,1772
220,1742,1747,1781
221,1751,1756,1790
222,1761,1765,1800
223,1769,1774,1809
224,1778,1783,1818
225,1787,1792,1827
226,1796,1801,1836
227,1805,1811,1845
228,1815,1820,1854
229,1823,1829,1862
230,1833,1838,1871
231,1841,1848,1880
232,1852,1857,1889
233,1860,1866,1897
234,1870,1876,1906
235,1880,1885,1915
236,1888,1893,1923
237,1896,1902,1931
238,1905,1911,1939
239,1914,1920,1947
240,1923,1929,1955
241,1932,1938,1963
242,1941,1947,1971
243,1949,1955,1978
244,1957,1963,1985
245,1966,1971,1992
246,1973,1979,1998
247,1982,1987,2005
248,1990,1995,2011
249,1998,2003,2017
250,2006,2011,2023
251,2014,2018,2028
252,2020,2025,2032
253,2028,2031,2035
254,2036,2036,2038
255,2040,2040,2040
